Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61544067627_24A,Spring Barley,18.25,0.722,0.574,,11.9,15,0.53,10.1,Low
LPIS-61473964034_7A,Spring Barley,18.200000762939453,0.706,0.567,,12.6,5,0.62,6.7,Low
LPIS-61553972166_17A,Winter Wheat,18.149999618530273,0.786,0.592,,21.1,15,0.66,11,Low
LPIS-61503956112_35A,Winter Wheat,18.1299991607666,0.582,0.401,,25.7,15,0.47,10.2,Low
LPIS-61504008472_4A,Rapeseed,18.1200008392334,0.834,0.648,,12.8,40,0.6,33,Moderate
LPIS-61503958635_34A,Sugar Beet,18.079999923706055,0.822,0.564,,9.4,15,0.49,19.3,Low
LPIS-61554074212_198A,Spring Barley,18.06999969482422,0.602,0.395,,15.5,15,0.47,8.8,Low
LPIS-61574002529_66A,Spring Barley,18.040000915527344,0.839,0.58,,3.9,15,0.5,20.5,Low
LPIS-61513932598_1A,Spring Barley,18.010000228881836,0.827,0.66,,6.8,15,0.62,19.7,Low
LPIS-61573947656_2B,Sugar Beet,18.010000228881836,0.803,0.637,,10,15,0.62,15,Low
LPIS-61753962607_154A,Sugar Beet,17.829999923706055,0.811,0.61,,8.1,40,0.62,25.6,Low
LPIS-61673985827_22A,Ley / Grass,17.809999465942383,0.854,0.596,,5.2,40,0.64,44.1,Moderate
LPIS-61453999344_25A,Winter Wheat,17.790000915527344,0.727,0.545,,24,15,0.52,10.8,Low
LPIS-61603981856_33A,Spring Barley,17.75,0.867,0.722,,11.3,40,0.53,37.5,Moderate
LPIS-61463964603_13A,Winter Wheat,17.670000076293945,0.744,0.525,,10.2,15,0.31,8.9,Low
LPIS-61573984407_201B,Potato,17.649999618530273,0.812,0.54,,7.4,15,0.78,20.1,Low
LPIS-61523975470_19B,Winter Wheat,17.610000610351562,0.603,0.419,,20.2,15,0.8,9.8,Low
LPIS-61743968107_155A,Sugar Beet,17.600000381469727,0.806,0.595,,7.3,15,0.58,14.8,Low
LPIS-61474014702_2A,Winter Wheat,17.59000015258789,0.843,0.692,,15.8,15,0.4,24.1,Low
LPIS-61483957161_65A,Winter Wheat,17.59000015258789,0.712,0.507,,14.7,15,0.51,9.4,Low
LPIS-61533922526_23B,Winter Wheat,17.540000915527344,0.712,0.523,,31,15,0.57,11.3,Low
LPIS-61483993762_21B,Winter Wheat,17.540000915527344,0.862,0.702,,11.3,15,0.67,27.9,Low
LPIS-61453970723_17A,Winter Wheat,17.530000686645508,0.843,0.699,,14.4,15,0.49,24,Low
LPIS-61503954423_2A,Spring Barley,17.520000457763672,0.826,0.678,,17.5,15,0.47,20.9,Low
LPIS-61504000424_30A,Winter Wheat,17.489999771118164,0.808,0.544,,13.8,15,0.5,14.2,Low
LPIS-61614029471_53A,Ley / Grass,17.479999542236328,0.884,0.69,,11.3,15,0.77,50.8,Moderate
LPIS-61614025977_51A,Ley / Grass,17.469999313354492,0.883,0.694,,15.2,15,0.62,51.2,Moderate
LPIS-61554017218_15A,Winter Wheat,17.43000030517578,0.696,0.49,,20.2,15,0.83,9.9,Low
LPIS-61504004320_10A,Spring Barley,17.389999389648438,0.854,0.69,,9.2,15,0.65,25.4,Low
LPIS-61604017228_43A,Winter Wheat,17.389999389648438,0.834,0.656,,7.6,15,0.6,20.8,Low
LPIS-61584013637_21A,Spring Wheat,17.3799991607666,0.834,0.662,,12.7,15,0.54,28.3,Low
LPIS-61473980209_6C,Sugar Beet,17.360000610351562,0.641,0.432,,12.6,15,0.76,8.7,Low
LPIS-61524001855_1A,Winter Wheat,17.360000610351562,0.754,0.573,,13.7,15,0.57,9.9,Low
LPIS-61473998232_13A,Spring Barley,17.34000015258789,0.807,0.652,,9.7,15,0.67,16.1,Low
LPIS-61493956961_21A,Winter Wheat,17.31999969482422,0.754,0.533,,7.7,15,0.53,8.7,Low
LPIS-61534046584_96A,Winter Wheat,17.299999237060547,0.772,0.616,,9.9,15,0.67,10,Low
LPIS-61723967857_26C,Rapeseed,17.280000686645508,0.756,0.586,,13.5,40,0.52,19.1,Low
LPIS-61694012031_129A,Ley / Grass,17.25,0.796,0.639,,13.9,15,0.52,26.5,Low
LPIS-61753998908_1A,Ley / Grass,17.1200008392334,0.564,0.339,,22.2,40,0.71,17.8,Low
LPIS-61554059102_42A,Winter Wheat,17.06999969482422,0.855,0.696,,6.6,40,0.62,34.7,Moderate
LPIS-61604035247_10A,Unknown,17.040000915527344,0.793,0.541,,10.9,15,0.31,31.3,Moderate
LPIS-61573990738_23A,Rapeseed,17.020000457763672,0.625,0.433,,19.4,15,0.5,9.7,Low
LPIS-61603967029_26A,Ley / Grass,17.020000457763672,0.813,0.655,,13.6,40,0.59,38.5,Moderate
LPIS-61564043384_39A,Winter Wheat,17,0.824,0.679,,14.5,15,0.63,19.7,Low
LPIS-61503976107_72A,Winter Wheat,16.950000762939453,0.837,0.686,,16.2,15,0.34,22.8,Low
LPIS-61503901490_10B,Winter Wheat,16.950000762939453,0.799,0.581,,12.7,15,0.58,12.7,Low
LPIS-61593972661_24C,Winter Wheat,16.940000534057617,0.813,0.558,,8.7,15,0.71,15,Low
LPIS-61463973193_3A,Rapeseed,16.8799991607666,0.783,0.607,,15.2,15,0.57,14.9,Low
LPIS-61533986323_2A,Winter Wheat,16.8700008392334,0.87,0.717,,11.9,15,0.76,29.8,Low
LPIS-61554045506_35A,Winter Wheat,16.81999969482422,0.628,0.441,,17.1,15,0.64,9.5,Low
LPIS-61584049719_53A,Winter Wheat,16.809999465942383,0.665,0.476,,24.7,15,0.6,10.5,Low
LPIS-61513987567_13A,Rapeseed,16.739999771118164,0.663,0.454,,19.5,15,0.38,9.6,Low
LPIS-61523987715_1A,Sugar Beet,16.719999313354492,0.808,0.523,,16.8,15,0.62,15.4,Low
LPIS-61523949705_44A,Winter Wheat,16.690000534057617,0.609,0.403,,18.5,15,0.78,9.2,Low
LPIS-61574013554_16A,Winter Wheat,16.639999389648438,0.769,0.595,,18.9,15,0.63,10.6,Low
LPIS-61613992144_22A,Rapeseed,16.639999389648438,0.594,0.404,,26.5,40,0.4,19.2,Low
LPIS-61474014702_2B,Winter Wheat,16.639999389648438,0.828,0.551,,8.2,15,0.5,18.1,Low
LPIS-61634039649_12A,Ley / Grass,16.639999389648438,0.726,0.474,,14.1,40,0.43,20.5,Low
LPIS-61584013637_21B,Sugar Beet,16.610000610351562,0.848,0.579,,9,15,0.75,26.6,Low
LPIS-61473969469_105A,Rapeseed,16.59000015258789,0.392,0.268,,41.5,15,0.49,11.8,Low
LPIS-61564039352_84A,Maize,16.540000915527344,0.348,0.223,,53.1,40,0.57,21.4,Low
LPIS-61483984559_2A,Spring Barley,16.530000686645508,0.826,0.672,,12.2,15,0.41,20.2,Low
LPIS-61513975944_108A,Winter Wheat,16.479999542236328,0.82,0.64,,11.3,15,0.51,18,Low
LPIS-61554049107_31C,Potato,16.459999084472656,0.808,0.551,,9.4,15,0.53,19,Low
LPIS-61543933393_12A,Winter Wheat,16.3700008392334,0.758,0.618,,4.6,15,0.54,9.7,Low
LPIS-61473967932_107A,Winter Wheat,16.3700008392334,0.735,0.589,,6.2,15,0.51,9.6,Low
LPIS-61523942063_94A,Spring Barley,16.31999969482422,0.818,0.652,,11.1,15,0.52,18.4,Low
LPIS-61503989501_73A,Winter Wheat,16.290000915527344,0.837,0.571,,8.4,15,0.61,20.2,Low
LPIS-61524005235_121A,Sugar Beet,16.270000457763672,0.71,0.495,,10.7,15,0.71,8.8,Low
LPIS-61544037034_102A,Winter Wheat,16.260000228881836,0.799,0.615,,13.9,15,0.67,13.4,Low
LPIS-61583961906_8A,Winter Wheat,16.25,0.824,0.584,,11.6,15,0.72,18.1,Low
LPIS-61473967932_107C,Winter Wheat,16.239999771118164,0.727,0.598,,9.3,5,0.57,6.6,Low
LPIS-61484019249_61A,Winter Wheat,16.219999313354492,0.813,0.636,,33.2,15,0.46,18.7,Low
LPIS-61543956748_11C,Winter Wheat,16.18000030517578,0.56,0.382,,23.5,15,0.52,10,Low
LPIS-61554009490_12A,Rapeseed,16.18000030517578,0.792,0.614,,12.7,15,0.79,16.3,Low
